,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
251,50.48005783,600767300,1089524520,5213332,197197,48179,47402,15566531,8603420,101238,221334,0.551403194
252,50.68036997,604493631,1036806682,5509513,283571,37938,48664,14357144,9161899,113455,176464,0.583034081
253,50.88066023,601949025,1040117805,5842833,121064,37017,65864,10309698,11932051,133149,137019,0.578731584
254,51.08098364,606255866,1021213941,6373846,104868,37672,54437,12385060,10457603,97014,131303,0.593661956
255,51.2812706,604055221,1054393956,5872474,128199,37444,46842,13918072,10727214,118707,145934,0.572893289
256,51.48159609,601046873,1083937779,5030736,220974,42045,43587,14736840,8290821,118571,144976,0.554503113
257,51.68192301,596623960,1025402311,5406883,172536,44271,47530,12158144,9337309,151240,180633,0.581843783
258,51.88224771,602344878,1020039275,5956152,177034,34065,45815,14165119,9604865,134173,141388,0.590511457
259,52.08256722,603720716,1269930643,4550728,177380,37652,42804,10951238,8221974,131402,170460,0.475396605
260,52.28298914,603824630,1076020819,5512573,167972,35517,43009,14304056,8488334,91384,157391,0.561164449
261,52.48330148,606528901,1112561015,5488095,201573,41773,35550,15442285,8951132,104938,143778,0.545164618
262,52.68362459,605431167,1124166924,5188731,180779,44597,52789,13344826,10463343,100558,142131,0.538559847
263,52.88391987,604966482,1082101700,5627672,216379,31923,33802,17406084,8299181,122337,207049,0.559066197
264,53.08423578,610231543,1075658218,5398218,301913,45832,32352,16692958,6280274,64373,149067,0.567309888
265,53.28452672,607061930,1076984961,5919919,126898,37212,47643,14430064,8138502,112513,135962,0.563667973
266,53.48484223,604883305,1039462870,5930570,196260,41053,38582,14746661,9523971,130152,172745,0.581919107
267,53.68517407,606014160,1070773097,5338712,264585,41817,33741,15184124,7581315,108612,199323,0.565959456
268,53.88550171,596845006,952562477,6133891,146615,40891,55935,13236323,9985995,149578,222552,0.626567832
269,54.08582748,601437996,1003297176,5445624,243381,50953,24201,18059627,4283175,160773,327945,0.599461466
